LinkS;TranspS;Instance;Demands;UB;LB;GAP;Time;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro;PreproTime;Variables;Constraints;v0;preproC;Paths;FeasibleC;InfeasibleC;OnlyOsnrC;OnlyReachC;FeasibleL;InfeasibleL;OnlyOsnrL;OnlyReachL;ads;dcb;llb;nlus;slus;suld;trl;tus;tase
1x;efficient;German_17_26;70-b;-1.000000;-1.000000;0.000000;29.832000;8;0;1;1;0;1;0;0;2;9.811396;38871;76790;215930;0;0;0;0;0;0;22062;12337;2;0;0;0;0;218871536;22062;1;0.000000;0;0.000000
1x;random;European_18_40;70-b;566.000000;566.000000;0.000000;4.529000;3;0;1;1;0;1;0;0;2;13.495450;76207;82670;315793;0;0;0;0;0;0;21954;-65486;1;0;70;70;0;70;2233;133;84640.000000;566;49733.333333
1x;efficient;European_18_40;10;-1.000000;-1.000000;0.000000;0.012000;8;0;1;1;0;1;0;0;2;0.024147;376;2220;7625;0;0;0;0;0;0;22022;808333362;4;0;0;0;0;-726217152;22022;4;0.000000;0;0.000000
1x;efficient;Nsfnet_14_21;50-b;42.000000;42.000000;0.000000;283.642000;8;0;1;1;0;1;0;0;2;1.861206;22294;31950;82707;0;0;0;0;0;0;22016;-65480;1;0;50;50;0;42;780;110;119700.000000;501;61383.333333
1x;efficient;Nsfnet_14_21;60-b;54.000000;54.000000;0.000000;144.598000;8;0;1;1;0;1;0;0;2;3.364479;34865;45540;116336;0;0;0;0;0;0;21922;-16764367;2;0;60;60;0;54;995;140;157200.000000;663;76650.000000
1.5x;maxData200;German_17_26;100-b;1028.000000;1028.000000;0.000000;30.115000;3;0;1;1;0;1;0;0;2;62.813913;269001;230900;510999;0;0;0;0;0;0;21882;12593;2;0;100;100;0;150;3571;279;50333.000000;1028;56650.000000
2x;maxData200;European_18_40;60-b;28.000000;13.790884;50.746841;14400.109000;8;0;1;1;0;1;0;0;2;26.602672;118430;121320;457571;0;0;0;0;0;0;21856;-16763855;2;0;60;60;0;28;902;147;90254.000000;702;53650.000000
1x;efficient;Nsfnet_14_21;30-b;-1.000000;-1.000000;0.000000;0.300000;3;0;1;1;0;1;0;0;2;0.399194;7452;11940;30348;0;0;0;0;0;0;22009;3145778;1;0;0;0;0;1405073408;22009;1;0.000000;0;0.000000
1x;efficient;Nsfnet_14_21;10-b;-1.000000;-1.000000;0.000000;0.004000;8;0;1;1;0;1;0;0;2;0.014183;660;1590;3541;0;0;0;0;0;0;0;-1133871366;0;0;1061720948;0;0;0;0;-1325564312;0.000000;0;0.000000
2x;efficient;German_17_26;70;90.000000;47.189705;47.566995;14400.124000;8;0;1;1;0;1;0;0;2;41.336481;90991;152110;418610;0;0;0;0;0;0;21875;53;1;0;70;70;0;90;1930;219;36288.000000;1314;46250.000000
2x;maxData200;European_18_40;50-b;24.000000;13.921134;41.995273;14400.075000;8;0;1;1;0;1;0;0;2;16.187006;103215;85100;296786;0;0;0;0;0;0;22072;-65486;1;0;50;50;0;24;810;132;78169.000000;688;44516.666667
1x;efficient;Nsfnet_14_21;60;-1.000000;-1.000000;0.000000;1.425000;3;0;1;1;0;1;0;0;2;3.309471;33773;45480;117427;0;0;0;0;0;0;21861;-65483;1;0;-1;-1;-1;-63088864;21861;1;-nan;-1;0.000000
1x;efficient;German_17_26;100-b;-1.000000;-1.000000;0.000000;19.012000;3;0;1;1;0;1;0;0;2;30.524751;114855;154600;405145;0;0;0;0;0;0;22018;57;1;0;0;0;0;-1471170832;22018;1;0.000000;0;0.000000
1x;efficient;European_18_40;40;510.000000;510.000000;0.000000;1.300000;3;0;1;1;0;1;0;0;2;2.324869;17678;28040;110322;0;0;0;0;0;0;22039;50;1;0;40;40;0;40;1158;87;50327.000000;510;34583.333333
1x;random;European_18_40;20-b;150.000000;150.000000;0.000000;0.326000;3;0;1;1;0;1;0;0;2;0.337869;6861;7620;25139;0;0;0;0;0;0;0;-1133871366;0;0;20;20;0;20;384;38;21883.000000;150;12250.000000
1x;efficient;Nsfnet_14_21;20-b;-1.000000;-1.000000;0.000000;0.155000;8;0;1;1;0;1;0;0;2;0.119176;2920;5580;13881;0;0;0;0;0;0;21989;12849;2;0;0;0;0;1191299072;21989;1;0.000000;0;0.000000
1.5x;maxData200;German_17_26;10;8.000000;8.000000;0.000000;0.639000;8;0;1;1;0;1;0;0;2;0.064799;2112;2850;5689;0;0;0;0;0;0;808598324;808464955;993013808;859518513;10;10;0;8;132;30;5395.000000;111;6150.000000
1x;random;European_18_40;40-b;377.000000;377.000000;0.000000;1.074000;3;0;1;1;0;1;0;0;2;2.559598;26668;28040;101332;0;0;0;0;0;0;22041;14385;2;0;40;40;0;40;1143;88;54345.000000;377;31200.000000
1x;efficient;German_17_26;20-b;-1.000000;-1.000000;0.000000;0.056000;8;0;1;1;0;1;0;0;2;0.200400;1681;6940;19120;0;0;0;0;0;0;22051;55;1;0;0;0;0;-858077088;22051;1;0.000000;0;0.000000
1x;efficient;Nsfnet_14_21;60-b;651.000000;651.000000;0.000000;3.924000;3;0;1;1;0;1;0;0;2;3.362756;34864;45480;116336;0;0;0;0;0;0;21983;-16764367;2;0;60;60;0;60;1220;137;155500.000000;651;75850.000000
1x;efficient;German_17_26;40;-1.000000;-1.000000;0.000000;0.761000;3;0;1;1;0;1;0;0;2;1.924601;14630;25840;68570;0;0;0;0;0;0;22073;12337;2;0;0;32;0;187769328;22073;1;0.000000;2705;0.000000
2x;efficient;German_17_26;90;84.000000;41.209177;50.941456;14400.122000;8;0;1;1;0;1;0;0;2;81.610378;148751;249570;693650;0;0;0;0;0;0;21945;13873;2;0;90;90;0;84;1937;241;40938.000000;1446;51183.333333
1x;random;European_18_40;20;188.000000;188.000000;0.000000;0.202000;3;0;1;1;0;1;0;0;2;0.302477;4395;7620;27605;0;0;0;0;0;0;0;-1133871366;0;0;20;20;0;20;433;43;23948.000000;188;14666.666667
1.5x;maxData200;German_17_26;60-b;551.000000;551.000000;0.000000;5.171000;3;0;1;1;0;1;0;0;2;12.467982;78652;84540;202148;0;0;0;0;0;0;22011;49;1;0;60;60;0;90;2001;153;26273.000000;551;31016.666667
1x;efficient;European_18_40;10-b;102.000000;102.000000;0.000000;0.049000;3;0;1;1;0;1;0;0;2;0.031861;868;2210;7132;0;0;0;0;0;0;22077;808333362;4;0;10;10;0;10;154;18;10038.000000;102;7650.000000
1x;random;European_18_40;30-b;15.000000;15.000000;0.000000;432.345000;8;0;1;1;0;1;0;0;2;1.245488;20260;16260;51741;0;0;0;0;0;0;0;-1133871366;0;0;30;30;0;15;410;80;43033.000000;350;25633.333333
1x;efficient;Nsfnet_14_21;10;-1.000000;-1.000000;0.000000;0.009000;3;0;1;1;0;1;0;0;2;0.014348;635;1580;3565;0;0;0;0;0;0;0;-1133871366;0;0;1061720948;0;0;0;0;1372360296;0.000000;0;0.000000
1x;efficient;European_18_40;90-b;1155.000000;1155.000000;0.000000;12.699000;3;0;1;1;0;1;0;0;2;28.480071;111377;135090;536623;0;0;0;0;0;0;22064;-16763599;2;0;90;90;0;90;2975;201;125144.000000;1155;85450.000000
2x;maxData200;European_18_40;40-b;18.000000;18.000000;0.000000;7833.581000;8;0;1;1;0;1;0;0;2;8.223437;61600;55280;194401;0;0;0;0;0;0;22047;-16762831;2;0;40;40;0;18;620;98;55834.000000;508;32733.333333
1x;random;European_18_40;20;12.000000;12.000000;0.000000;13.147000;8;0;1;1;0;1;0;0;2;0.294008;4396;7640;27605;0;0;0;0;0;0;0;-1133871366;0;0;20;20;0;12;286;48;26668.000000;207;16383.333333
2x;random;German_17_26;100-b;-1.000000;41.291845;0.000000;14400.460000;8;0;1;1;0;1;0;0;2;158.570007;566727;307300;473274;0;0;0;0;0;0;21903;12593;2;0;0;0;0;-784788256;21903;1;0.000000;0;0.000000
1x;efficient;Nsfnet_14_21;30;30.000000;30.000000;0.000000;6.912000;8;0;1;1;0;1;0;0;2;0.384497;5405;11970;32396;0;0;0;0;0;0;21971;3145785;1;0;30;30;0;30;544;61;62400.000000;309;33433.333333
1x;efficient;German_17_26;60;-1.000000;-1.000000;0.000000;12.197000;8;0;1;1;0;1;0;0;2;6.283611;30636;56820;156565;0;0;0;0;0;0;21910;56;1;0;0;32;0;-1766510096;21910;1;0.000000;2705;0.000000
1x;efficient;Nsfnet_14_21;40;30.000000;30.000000;0.000000;20.706000;8;0;1;1;0;1;0;0;2;1.196078;17550;20760;49651;0;0;0;0;0;0;21929;54;1;0;40;40;0;30;534;89;111100.000000;369;53933.333333
2x;efficient;German_17_26;50-b;54.000000;54.000000;0.000000;9481.949000;8;0;1;1;0;1;0;0;2;14.397090;42561;78650;217440;0;0;0;0;0;0;21846;49;1;0;50;50;0;54;1199;148;25462.000000;888;32750.000000
1x;efficient;Nsfnet_14_21;20;15.000000;15.000000;0.000000;1.011000;8;0;1;1;0;1;0;0;2;0.140856;4144;5580;12657;0;0;0;0;0;0;21935;3145779;1;0;20;20;0;15;288;52;57700.000000;231;27916.666667
1x;efficient;Nsfnet_14_21;80;-1.000000;-1.000000;0.000000;2.607000;8;0;1;1;0;1;0;0;2;7.115941;50068;79920;218733;0;0;0;0;0;0;21987;56;1;0;0;0;0;274986736;21987;1;0.000000;0;0.000000
1x;random;European_18_40;40-b;16.000000;16.000000;0.000000;3008.203000;8;0;1;1;0;1;0;0;2;2.553455;26669;28080;101332;0;0;0;0;0;0;22091;14385;2;0;40;40;0;16;531;99;57517.000000;418;33233.333333
1x;efficient;European_18_40;100;1251.000000;1251.000000;0.000000;18.065000;3;0;1;1;0;1;0;0;2;39.511750;159886;166100;640114;0;0;0;0;0;0;21998;-16763599;2;0;100;100;0;100;3227;218;147210.000000;1251;94333.333333
1x;efficient;European_18_40;30;402.000000;402.000000;0.000000;0.577000;3;0;1;1;0;1;0;0;2;0.939235;8200;16230;63800;0;0;0;0;0;0;21863;-385863375;2;0;30;30;0;30;734;67;39733.000000;402;27816.666667
1x;efficient;German_17_26;80;-1.000000;-1.000000;0.000000;3.097000;3;0;1;1;0;1;0;0;2;14.711414;51300;99680;281500;0;0;0;0;0;0;21964;53;1;0;0;0;0;308279024;21964;1;0.000000;0;0.000000
2x;random;German_17_26;50-b;49.000000;21.600000;55.918367;14400.184000;8;0;1;1;0;1;0;0;2;19.966613;125448;78650;134553;0;0;0;0;0;0;22071;49;1;0;50;50;0;49;1179;162;29142.000000;731;28116.666667
1.5x;maxData200;German_17_26;70;714.000000;714.000000;0.000000;13.383000;3;0;1;1;0;1;0;0;2;21.950527;122914;114380;259286;0;0;0;0;0;0;21948;12337;2;0;70;70;0;105;2357;196;33881.000000;714;39300.000000
2x;random;Nsfnet_14_21;60-b;45.000000;32.000000;28.888889;14400.045000;8;0;1;1;0;1;0;0;2;14.101717;80054;90000;222347;0;0;0;0;0;0;21871;13361;2;0;60;60;0;45;894;144;165800.000000;569;77916.666667
1.5x;maxData200;German_17_26;10-b;12.000000;12.000000;0.000000;0.389000;8;0;1;1;0;1;0;0;2;0.061595;2124;2850;5677;0;0;0;0;0;0;808598324;808464955;993013808;859518513;10;10;0;12;146;35;5206.000000;131;6316.666667
2x;random;German_17_26;40-b;46.000000;16.476744;64.180991;14400.121000;8;0;1;1;0;1;0;0;2;10.484206;96532;50920;69869;0;0;0;0;0;0;21868;54;1;0;40;40;0;46;1092;161;27423.000000;648;25333.333333
2x;random;European_18_40;60-b;24.000000;15.000000;37.500000;14400.078000;8;0;1;1;0;1;0;0;2;36.056338;137679;121320;438322;0;0;0;0;0;0;22032;-16763855;2;0;60;60;0;24;852;149;91302.000000;687;54050.000000
1x;random;European_18_40;80;834.000000;834.000000;0.000000;10.401000;3;0;1;1;0;1;0;0;2;21.049792;121265;107280;390735;0;0;0;0;0;0;22032;-65480;1;0;80;80;0;80;2461;179;112312.000000;834;67183.333333
1x;efficient;German_17_26;60-b;-1.000000;-1.000000;0.000000;13.716000;8;0;1;1;0;1;0;0;2;5.982720;30526;56820;156675;0;0;0;0;0;0;22085;49;1;0;0;32;0;-69979632;22085;1;0.000000;2705;0.000000
2x;maxData200;European_18_40;90;105.000000;20.459677;80.514593;14400.314000;8;0;1;1;0;1;0;0;2;109.403235;253100;268380;1042901;0;0;0;0;0;0;21929;53;1;0;90;90;0;105;2313;218;122455.000000;1098;74283.333333
1x;efficient;German_17_26;30-b;-1.000000;-1.000000;0.000000;0.515000;3;0;1;1;0;1;0;0;2;0.816200;9050;14880;37750;0;0;0;0;0;0;21914;-16763599;2;0;-1;-1;-1;2074580208;21914;1;0.000000;2960;0.000000
2x;maxData200;European_18_40;70;64.000000;22.410256;64.983974;14400.197000;8;0;1;1;0;1;0;0;2;43.636614;189583;163940;594418;0;0;0;0;0;0;0;-1133871366;0;-1;70;70;0;64;1635;185;110237.000000;979;62016.666667
1x;efficient;European_18_40;30-b;396.000000;396.000000;0.000000;0.592000;3;0;1;1;0;1;0;0;2;0.937588;8625;16230;63375;0;0;0;0;0;0;0;-1133871366;0;0;30;30;0;30;695;66;33954.000000;396;25033.333333
1x;efficient;German_17_26;50;768.000000;768.000000;0.000000;2.002000;3;0;1;1;0;1;0;0;2;3.393410;17775;39800;112225;0;0;0;0;0;0;21982;54;1;0;50;50;0;50;1179;128;20518.000000;768;27183.333333
1x;efficient;Nsfnet_14_21;40;357.000000;357.000000;0.000000;0.841000;3;0;1;1;0;1;0;0;2;1.101658;17549;20720;49651;0;0;0;0;0;0;21935;54;1;0;40;40;0;40;687;85;109500.000000;357;53066.666667
2x;random;German_17_26;100;-1.000000;34.953608;0.000000;14400.523000;8;0;1;1;0;1;0;0;2;148.890140;498717;307300;541284;0;0;0;0;0;0;21979;56;1;0;0;0;0;1934197984;21979;1;0.000000;0;0.000000
1.5x;maxData200;German_17_26;40-b;417.000000;417.000000;0.000000;4.723000;3;0;1;1;0;1;0;0;2;4.474741;40920;38360;83880;0;0;0;0;0;0;21907;56;1;0;40;40;0;60;1063;113;20811.000000;417;23416.666667
1x;efficient;German_17_26;100;-1.000000;-1.000000;0.000000;29.281000;8;0;1;1;0;1;0;0;2;27.587456;72961;154700;447040;0;0;0;0;0;0;21964;12337;2;0;0;0;0;-9009424;21964;1;0.000000;0;0.000000
1x;efficient;German_17_26;10;-1.000000;-1.000000;0.000000;0.004000;8;0;1;1;0;1;0;0;2;0.022214;546;1970;4655;0;0;0;0;0;0;993016624;925904944;808729392;774912816;774912821;925904944;774912821;925904944;993593909;825963825;0.000000;909850427;0.000000
1x;efficient;German_17_26;60-b;-1.000000;-1.000000;0.000000;3.515000;3;0;1;1;0;1;0;0;2;6.445341;30525;56760;156675;0;0;0;0;0;0;21887;49;1;0;0;32;0;-1632640496;21887;1;0.000000;2705;0.000000
1x;efficient;European_18_40;10-b;6.000000;6.000000;0.000000;0.027000;8;0;1;1;0;1;0;0;2;0.035100;869;2220;7132;0;0;0;0;0;0;22081;808333362;4;0;10;10;0;6;108;19;10324.000000;108;7983.333333
1x;efficient;Nsfnet_14_21;80-b;-1.000000;-1.000000;0.000000;4.299000;3;0;1;1;0;1;0;0;2;8.097607;56352;79840;212448;0;0;0;0;0;0;21974;50;1;0;0;0;0;47232752;21974;1;0.000000;0;0.000000
1x;efficient;German_17_26;90-b;-1.000000;-1.000000;0.000000;58.916000;3;0;1;1;0;1;0;0;2;23.172444;101745;125640;319455;0;0;0;0;0;0;22008;13873;2;0;0;0;0;-1988299024;22008;1;0.000000;0;0.000000
1.5x;maxData200;German_17_26;20-b;14.000000;14.000000;0.000000;183.370000;8;0;1;1;0;1;0;0;2;0.498327;9290;10200;21911;0;0;0;0;0;0;21916;52;1;0;20;20;0;14;266;56;10596.000000;205;11650.000000
1.5x;maxData200;German_17_26;80-b;878.000000;878.000000;0.000000;25.278000;3;0;1;1;0;1;0;0;2;35.609701;195250;148720;303950;0;0;0;0;0;0;22016;13105;2;0;80;80;0;120;2843;234;41733.000000;878;46016.666667
2x;random;European_18_40;50-b;24.000000;12.610367;47.456804;14400.221000;8;0;1;1;0;1;0;0;2;21.742939;105345;85100;294656;0;0;0;0;0;0;22049;-65486;1;0;50;50;0;24;713;128;78609.000000;539;44466.666667
2x;random;European_18_40;80-b;91.000000;18.134615;80.071851;14400.324000;8;0;1;1;0;1;0;0;2;85.367304;266702;212960;757299;0;0;0;0;0;0;21910;50;1;0;80;80;0;91;2288;216;124485.000000;938;71083.333333
1x;efficient;German_17_26;80-b;-1.000000;-1.000000;0.000000;62.042000;8;0;1;1;0;1;0;0;2;15.464666;67051;99760;265750;0;0;0;0;0;0;21964;13105;2;0;0;0;0;1435862768;21964;1;0.000000;0;0.000000
1x;random;European_18_40;100;971.000000;971.000000;0.000000;16.870000;3;0;1;1;0;1;0;0;2;41.864598;202123;166100;597877;0;0;0;0;0;0;21900;-16763599;2;0;100;100;0;100;3405;221;145918.000000;971;81883.333333
1x;efficient;German_17_26;90;1392.000000;1392.000000;0.000000;428.302000;3;0;1;1;0;1;0;0;2;21.370300;72250;125640;348950;0;0;0;0;0;0;21916;12593;2;0;90;90;0;90;2263;232;39723.000000;1392;49800.000000
2x;efficient;German_17_26;90-b;120.000000;53.073879;55.771768;14400.272000;8;0;1;1;0;1;0;0;2;89.861279;209476;249570;632925;0;0;0;0;0;0;21897;13617;2;0;90;90;0;120;2981;279;50232.000000;1674;59983.333333
1x;random;European_18_40;50-b;21.000000;18.000000;14.285714;14400.055000;8;0;1;1;0;1;0;0;2;7.001439;51095;43100;148906;0;0;0;0;0;0;22084;14385;2;0;50;50;0;21;770;139;81164.000000;585;46133.333333
1x;efficient;Nsfnet_14_21;100-b;99.000000;51.180825;48.302197;14400.078000;8;0;1;1;0;1;0;0;2;15.183603;94883;123900;325118;0;0;0;0;0;0;21892;12593;2;0;100;100;0;99;1938;269;284200.000000;1203;139633.333333
1x;efficient;European_18_40;80;1047.000000;1047.000000;0.000000;7.219000;3;0;1;1;0;1;0;0;2;20.254542;84021;107280;427979;0;0;0;0;0;0;21862;-65480;1;0;80;80;0;80;2767;179;111462.000000;1047;75050.000000
1x;efficient;German_17_26;30;-1.000000;-1.000000;0.000000;1.888000;8;0;1;1;0;1;0;0;2;0.790779;9876;14910;36925;0;0;0;0;0;0;21926;-16764111;2;0;-1;-1;-1;-1727933200;21926;1;0.000000;2960;0.000000
1x;efficient;German_17_26;10-b;-1.000000;-1.000000;0.000000;0.003000;8;0;1;1;0;1;0;0;2;0.020041;356;1970;4845;0;0;0;0;0;0;808465467;808333371;808333371;892809264;892809264;808333371;892809264;825964810;925973296;842741307;0.000000;808464434;0.000000
1.5x;maxData200;German_17_26;20-b;178.000000;178.000000;0.000000;0.526000;3;0;1;1;0;1;0;0;2;0.496698;9289;10180;21911;0;0;0;0;0;0;22067;52;1;0;20;20;0;30;414;49;8436.000000;178;9833.333333
1x;efficient;German_17_26;30;-1.000000;-1.000000;0.000000;0.591000;3;0;1;1;0;1;0;0;2;0.789106;9875;14880;36925;0;0;0;0;0;0;21869;-16764111;2;0;-1;-1;-1;-1831250704;21869;1;0.000000;2960;0.000000
1x;random;European_18_40;90-b;969.000000;969.000000;0.000000;14.398000;3;0;1;1;0;1;0;0;2;30.190868;158895;135090;489105;0;0;0;0;0;0;22062;-16763599;2;0;90;90;0;90;2766;202;126282.000000;969;73600.000000
1x;efficient;European_18_40;90-b;57.000000;27.481319;51.787160;14400.163000;8;0;1;1;0;1;0;0;2;27.931329;111378;135180;536623;0;0;0;0;0;0;22037;-16763599;2;0;90;90;0;57;1879;234;133889.000000;1353;93500.000000
1x;efficient;Nsfnet_14_21;90;84.000000;48.995122;41.672474;14400.084000;8;0;1;1;0;1;0;0;2;11.100848;76906;100710;263295;0;0;0;0;0;0;22061;52;1;0;90;90;0;84;1588;245;259300.000000;1071;127750.000000
1x;efficient;German_17_26;20-b;-1.000000;-1.000000;0.000000;0.082000;3;0;1;1;0;1;0;0;2;0.200272;1680;6920;19120;0;0;0;0;0;0;21888;55;1;0;0;0;0;-2142230432;21888;1;0.000000;0;0.000000
1.5x;maxData200;German_17_26;50;26.000000;14.611079;43.803541;14400.049000;8;0;1;1;0;1;0;0;2;6.961131;49282;59250;145719;0;0;0;0;0;0;21929;55;1;0;50;50;0;26;625;134;22404.000000;472;26783.333333
1x;efficient;European_18_40;60;48.000000;48.000000;0.000000;6991.749000;8;0;1;1;0;1;0;0;2;8.064121;42600;61320;245401;0;0;0;0;0;0;22064;51;1;0;60;60;0;48;1492;160;86664.000000;939;60733.333333
1x;efficient;European_18_40;50-b;30.000000;30.000000;0.000000;1491.270000;8;0;1;1;0;1;0;0;2;4.658199;32563;43100;167438;0;0;0;0;0;0;22040;14385;2;0;50;50;0;30;971;122;73151.000000;723;49100.000000
1x;random;European_18_40;30;21.000000;21.000000;0.000000;328.154000;8;0;1;1;0;1;0;0;2;1.087933;13829;16260;58172;0;0;0;0;0;0;0;-1133871366;0;0;30;30;0;21;565;75;41728.000000;378;26700.000000
1x;random;European_18_40;10;6.000000;6.000000;0.000000;0.050000;8;0;1;1;0;1;0;0;2;0.033805;650;2220;7351;0;0;0;0;0;0;21924;808333362;4;0;10;10;0;6;79;21;10097.000000;77;6616.666667
1.5x;maxData200;German_17_26;20;13.000000;13.000000;0.000000;24.668000;8;0;1;1;0;1;0;0;2;0.482718;7896;10200;23305;0;0;0;0;0;0;22012;55;1;0;20;20;0;13;264;60;11030.000000;216;12650.000000
1x;efficient;German_17_26;90-b;-1.000000;-1.000000;0.000000;543.617000;8;0;1;1;0;1;0;0;2;22.517511;101746;125730;319455;0;0;0;0;0;0;22001;13873;2;0;0;0;0;1709283056;22001;1;0.000000;0;0.000000
1.5x;maxData200;German_17_26;30-b;309.000000;309.000000;0.000000;0.923000;3;0;1;1;0;1;0;0;2;1.644404;21755;22020;48445;0;0;0;0;0;0;21879;13873;2;0;30;30;0;45;766;84;15390.000000;309;17233.333333
1x;efficient;Nsfnet_14_21;10;-1.000000;-1.000000;0.000000;0.004000;8;0;1;1;0;1;0;0;2;0.014268;636;1590;3565;0;0;0;0;0;0;0;-1133871366;0;0;1061720948;0;0;0;0;-1277837720;0.000000;0;0.000000
1x;random;European_18_40;10-b;66.000000;66.000000;0.000000;0.063000;3;0;1;1;0;1;0;0;2;0.046376;1781;2210;6219;0;0;0;0;0;0;21927;808333362;4;0;10;10;0;10;97;17;9902.000000;66;5783.333333
1x;random;European_18_40;30-b;287.000000;287.000000;0.000000;0.950000;3;0;1;1;0;1;0;0;2;1.248303;20259;16230;51741;0;0;0;0;0;0;0;-1133871366;0;0;30;30;0;30;687;65;37633.000000;287;22050.000000
1x;random;European_18_40;40;385.000000;385.000000;0.000000;2.410000;3;0;1;1;0;1;0;0;2;2.813165;34567;28040;93433;0;0;0;0;0;0;21890;50;1;0;40;40;0;40;1039;86;50548.000000;385;29566.666667
1x;efficient;Nsfnet_14_21;100;1026.000000;1026.000000;0.000000;16.254000;3;0;1;1;0;1;0;0;2;14.658715;88049;123800;331951;0;0;0;0;0;0;21976;57;1;0;100;100;0;100;2014;216;244300.000000;1026;123433.333333
1.5x;maxData200;German_17_26;30-b;21.000000;17.000000;19.047619;14400.047000;8;0;1;1;0;1;0;0;2;1.808901;21756;22050;48445;0;0;0;0;0;0;22075;13873;2;0;30;30;0;21;481;92;15669.000000;340;17933.333333
1x;random;European_18_40;40;19.000000;12.234679;35.606955;14400.043000;8;0;1;1;0;1;0;0;2;2.818518;34568;28080;93433;0;0;0;0;0;0;21953;50;1;0;40;40;0;19;585;99;56354.000000;439;33316.666667
1x;efficient;European_18_40;60;801.000000;801.000000;0.000000;4.950000;3;0;1;1;0;1;0;0;2;8.098730;42599;61260;245401;0;0;0;0;0;0;21938;51;1;0;60;60;0;60;1650;137;82157.000000;801;56466.666667
1x;efficient;European_18_40;10;-1.000000;-1.000000;0.000000;0.007000;3;0;1;1;0;1;0;0;2;0.024242;375;2210;7625;0;0;0;0;0;0;21931;808333362;4;0;0;0;0;-2062217664;21931;4;0.000000;0;0.000000
1x;efficient;Nsfnet_14_21;80;-1.000000;-1.000000;0.000000;2.218000;3;0;1;1;0;1;0;0;2;9.471610;50067;79840;218733;0;0;0;0;0;0;22029;56;1;0;0;0;0;-297498896;22029;1;0.000000;0;0.000000
1x;efficient;European_18_40;20;252.000000;252.000000;0.000000;0.153000;3;0;1;1;0;1;0;0;2;0.259242;3255;7620;28745;0;0;0;0;0;0;22026;-1763508169;1;0;20;20;0;20;380;42;24688.000000;252;17166.666667
1x;random;European_18_40;50;21.000000;12.296077;41.447254;14400.044000;8;0;1;1;0;1;0;0;2;4.924942;39867;43100;160134;0;0;0;0;0;0;21948;13105;2;0;50;50;0;21;694;120;72106.000000;528;41683.333333
1.5x;maxData200;German_17_26;50-b;478.000000;478.000000;0.000000;5.128000;3;0;1;1;0;1;0;0;2;7.946076;64309;59200;130691;0;0;0;0;0;0;22028;49;1;0;50;50;0;75;1630;132;24740.000000;478;27950.000000
1x;efficient;Nsfnet_14_21;30;300.000000;300.000000;0.000000;0.266000;3;0;1;1;0;1;0;0;2;0.354741;5404;11940;32396;0;0;0;0;0;0;22015;3145785;1;0;30;30;0;30;531;58;60100.000000;300;32366.666667
1x;random;European_18_40;70-b;29.000000;15.527559;46.456693;14400.178000;8;0;1;1;0;1;0;0;2;14.472097;76208;82740;315793;0;0;0;0;0;0;21929;-65486;1;0;70;70;0;29;1007;160;92688.000000;681;55433.333333
1x;efficient;Nsfnet_14_21;90;948.000000;948.000000;0.000000;24.386000;3;0;1;1;0;1;0;0;2;12.303921;76905;100620;263295;0;0;0;0;0;0;21882;52;1;0;90;90;0;90;1812;207;235700.000000;948;116216.666667
1x;random;European_18_40;90-b;90.000000;21.488636;76.123737;14400.210000;8;0;1;1;0;1;0;0;2;30.583934;158896;135180;489105;0;0;0;0;0;0;21979;-16763599;2;0;90;90;0;90;3238;251;141075.000000;1202;83166.666667
1.5x;maxData200;German_17_26;50-b;35.000000;17.875000;48.928571;14400.092000;8;0;1;1;0;1;0;0;2;8.337060;64310;59250;130691;0;0;0;0;0;0;21848;49;1;0;50;50;0;35;838;152;26738.000000;558;30400.000000
1x;efficient;Nsfnet_14_21;10-b;-1.000000;-1.000000;0.000000;0.005000;3;0;1;1;0;1;0;0;2;0.016924;659;1580;3541;0;0;0;0;0;0;0;-1133871366;0;0;1061720948;0;0;0;0;-1589547416;0.000000;0;0.000000
1x;efficient;German_17_26;70-b;-1.000000;-1.000000;0.000000;2.990000;3;0;1;1;0;1;0;0;2;10.498596;38870;76720;215930;0;0;0;0;0;0;21914;12337;2;0;0;0;0;2087835376;21914;1;0.000000;0;0.000000
1x;efficient;Nsfnet_14_21;100;96.000000;52.084091;45.745739;14400.091000;8;0;1;1;0;1;0;0;2;14.680181;88050;123900;331951;0;0;0;0;0;0;22029;57;1;0;100;100;0;96;1878;229;251200.000000;1071;126933.333333
1x;efficient;German_17_26;50-b;-1.000000;-1.000000;0.000000;1.802000;3;0;1;1;0;1;0;0;2;3.640985;20160;39800;109840;0;0;0;0;0;0;21982;54;1;0;0;32;0;1514377744;21982;1;0.000000;2705;0.000000
1x;efficient;European_18_40;40-b;522.000000;522.000000;0.000000;1.173000;3;0;1;1;0;1;0;0;2;2.385451;19740;28040;108260;0;0;0;0;0;0;21866;14385;2;0;40;40;0;40;1201;87;54127.000000;522;35866.666667
1x;efficient;European_18_40;20;12.000000;12.000000;0.000000;0.456000;8;0;1;1;0;1;0;0;2;0.261281;3256;7640;28745;0;0;0;0;0;0;22041;-745865161;1;0;20;20;0;12;318;46;25531.000000;276;17983.333333
